KIT DE CALIPER NACIONALES (AKRON);;;;;;;;;;;
Referencia;Descripcion;Para;Diametro mm ;;;COSTO;CARACAS;ORIENTE;CATEGOTRIA;EQUIVALENCIA;MARCA
KB-60210;Kit de Reparacion para Bomba, Toyota Autana ;;"1""";;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;091;
KB-41501A;Kit de Reparacion para Bomba, Toyota, 6 Piezas;;"13/16""";;;4,06;9,02;10,15;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;092;
KB-42951A;Kit de Reparacion para Bomba, Toyota, 5 Piezas;;"15/16""";;;4,20;9,33;10,50;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;093;
KB-43111A;Kit de Reparacion para Bomba, Bombas Toyota ;;"7/8""";;;3,08;6,84;7,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;094;
KB-51121CA;Kit de Reparacion para Bomba, Nissan, 7 Piezas;;"7/8""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;095;
KB-51501A;Kit de Reparacion para Bomba, Nissan, 5 Piezas;;"3/4""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;096;
KB-51751NA;Kit de Reparacion para Bomba, Nissan, 4 Piezas;;"15/16""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;097;
KB-51831A;Kit de Reparacion para Bomba, Nissan, 4 Piezas;;"13/16""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;098;
KB-61321A;Kit de Reparacion para Bomba, Honda, 7 Piezas;;"7/8""";;;4,20;9,33;10,50;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;099;
KB-61331A;Kit de Reparacion para Bomba, Honda, 5 Piezas ;;"15/16""";;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;100;
KB-61501A;Kit de Reparacion para Bomba, Honda Civic Japones ;;"13/16""";;;3,78;8,40;9,45;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;101;
KB-426005;Kit de Reparacion para Bomba, Daewoo, Cielo, Lanos, (TODOS) ;;"13/16""";;;2,53;5,61;6,32;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;102;
KB-F85366N;Kit de Reparacion para Bomba, Ford Maverick (74/76), (Bomba Nacional) ;;"15/16""";;;3,36;7,47;8,40;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;103;
KB-F114084H;Kit de Reparacion para Bomba, Bronco, Explorer (Tokico) Bomba aluminio Piston de Hierro Ø 26,99mm;;"1-1/16""";;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;104;
KB-1136;Kit de Reparacion para Bomba, Bombin Superior e Inferior, Mitsubishi Montero  ;;"3/4"" y 5/8""";;;1,68;3,73;4,20;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;105;
KB-2688A;Kit de Reparacion para Bomba, Chevette (87/89), (Bomba Kapitol Ampliado);;"13/16""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;106;
KB-60215;Kit de Reparacion para Bomba, Toyota Hilux ;;"15/16""";;;3,08;6,84;7,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;107;
KB-2400;Kit de Reparacion para Bomba, Corsa (Bomba ATE-Brasil) ;;"13/16""";;;3,78;8,40;9,45;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;108;
KB-9010;Kit de Reparacion para Bomba, Lada 2107, Samara, Niva, Bombin Superior e Inferior;;"3/4""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;109;
KB-60030;Kit de Reparacion para Bomba, Toyota Macho (75/80)  ;;"1-1/8""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;110;
KB-166432;Kit de Reparacion para Bomba, Ford Bronco (Bomba Plástica) ;;"1""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;111;
KB-5912;"Kit de Reparacion para Bomba, Bomba Iveco 59-12 Ø 1 1/8"" ";;28,58mm;;;3,22;7,15;8,04;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;112;
KB-3LZ1516;Kit de Reparacion para Bomba, Mitsubishi L300 ;;"15/16""";;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;113;
KB-11738;Kit de Reparacion para Bomba, Bomba Corta Blazer (+98);;"1""";;;2,24;4,98;5,60;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;114;
KB-1560;"Kit de Reparacion para Bomba, Bomba Aluminio Caribe Isuzu Ø 1"" (25,40mm)";;"1""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;115;
KB-4T314A;"Kit de Reparacion para Bomba, (Bomba Nisin) Honda/Accord Ø 1"" (25.40mm)";;"1""";;;3,08;6,84;7,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;116;
KB-2688J;Kit de Reparacion para Bomba, Chevette (Bomba Kapitol con o´Ring);;"13/16""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;117;
KB-8628M;Kit de Reparacion para Bomba, Fiat Palio, Uno, Premio, Tempra, Chevrolet Corsa ;;"13/16""";;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;118;
KB-1940M;Kit de Reparacion para Bomba, Fiat Ritmo 131/132 ;;"3/4""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;119;
KB-1945M;Kit de Reparacion para Bomba, Fiat Regata 2000;;"13/16""";;;1,96;4,36;4,90;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;120;
KB-13340;Kit de Reparacion para Bomba, Daewoo Matiz;;"3/4""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;121;
KB-30905;Kit de Reparacion para Bomba, Bomba Chevrolet Autobus P-31;;34mm;;;0,98;2,18;2,45;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;122;
KB-008586;Kit de Reparacion para Bomba, Ford Fiesta de 2000 a 2004 ;;"15/16""";;;2,52;5,60;6,30;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;123;
KB-11906-07;Kit de Reparacion para Bomba, LTD, Cougar, Mustang, Zephyr, Futura, Fairmont;; 21 mm;;;2,52;5,60;6,30;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;124;
KB-F75818;Kit de Reparacion para Bomba, Dodge Dart, Aspen (73/78);;"1-1/32""";;;3,36;7,47;8,41;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;125;
KB-F99084;Kit de Reparacion para Bomba, Zephyr, Cougar del 78 al 81, Mustang (79/82);;"7/8""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;126;
KB-F102421;Kit de Reparacion para Bomba, F-350 (83/87)  Tubo lado Izquierdo;;"1-1/16""";;;3,64;8,09;9,10;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;127;
KB-104466;Kit de Reparacion para Bomba, Chevrolet C-10, Jeep Wagoneer del 81 al 87;;"1"" x 36mm";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;128;
KB-105808;Kit de Reparacion para Bomba, Granada, Cougar (81/83), Fairmont;;21mm;;;2,24;4,98;5,60;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;129;
KB-RRCD00910;Kit de Reparacion para Bomba, Fiesta (Bomba Tipo Varga);;"7/8""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;130;
KB-87BK2140;Kit de Reparacion para Bomba, Sierra 280 del 87/88, Sierra 300 del 88/89, Hueco Corto;;"15/16""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;131;
KB-129295;Kit de Reparacion para Bomba, Ford Mercury Tracer (92/93);;"7/8""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;132;
KB-97936;Kit de Reparacion para Bomba, Ford Econoline: E-200,300  (77/88), Pickup F250 (77/79) ;;"1-1/16""";;;3,08;6,84;7,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;133;
KB-F110919;Kit de Reparacion para Bomba, F-350 (80/86);;"1-1/8""";;;3,92;8,71;9,80;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;134;
KB-F101253;Kit de Reparacion para Bomba, Malibu, Monte Carlo 78/80 Chevrolet;;24mm;;;2,52;5,60;6,30;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;135;
KB-F108145;Kit de Reparacion para Bomba, C-30, 81/91, Cheyenne 1500/3500 Hasta el  99;;"1-5/16""";;;3,78;8,40;9,45;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;136;
KB-20460;Kit de Reparacion para Bomba, Fiat Palio, Siena ;;"13/16""";;;2,24;4,98;5,60;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;137;
KB-140457;Kit de Reparacion para Bomba, Chrysler Neón 2000 al 2005;;"15/16""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;138;
KB-20419;Kit de Reparacion para Bomba, Chevrolet Corsa (ATE Brasil) ;;"13/16""";;;3,08;6,84;7,70;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;139;
KB-47201-87401;Kit de Reparacion para Bomba, Daihatsu Terios Familiar;;"7/8""";;;2,80;6,23;7,01;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;140;
KB-F142646;Kit de Reparacion para Bomba, Chevrolet Aveo (04/08);;"7/8""";;;5,60;12,44;14,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;141;
KB-59279;Kit de Reparacion para Bomba, Ford Series: Ecosport 04/06, Fiesta Power Hasta (2015);;"15/16""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;142;
KB-724411;Kit de Reparacion para Bomba, Renault Energy (88/92), Clio (91/98) ;;"3/4""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;143;
KB-50149;Kit de Reparacion para Bomba, Renault Twingo 96 en Adelante;;"13/16""";;;3,22;7,16;8,05;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;144;
KB-110983;Kit de Reparacion para Bomba, Renault R-19, Clìo (98/09) ;;20.64mm;;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;145;
KB-39841;Kit de Reparacion para Bomba, Chevrolet Esteem 99/02, Esteem GLX (95/98) ;;7/8”;;;1,96;4,36;4,90;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;146;
KB-630335;Kit de Reparacion para Bomba, Chevrolet Cheyenne 3500 (93/03) ;;"1-5/16""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;147;
KB-101254;Kit de Reparacion para Bomba, Chevrolet Series: Malibù, Caprice, C-10 (74/79) ;;74-79;;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;148;
KB-105872;Kit de Reparacion para Bomba, Jeep Series CJ (78-86) ;;"1""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;149;
KB-94622159;Kit de Reparacion para Bomba,  Chevrolet Chevette Tipo Bendix (Pistòn Profundo) (79/85) ;;"13/16""";;;2,94;6,53;7,34;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;150;
KB-40004368;Kit de Reparacion para Bomba, Chevrolet Swift 1.3;;"3/4""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;151;
KB-1S552140AA;Kit de Reparacion para Bomba, Ford KA (04/08);;"7/8""";;;4,06;9,02;10,15;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;152;
KB-353500;Kit de Reparacion para Bomba, Cheyenne 3500;;"1-1/2""";;;4,48;9,96;11,20;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;153;
KB-F104516;Kit de Reparacion para Bomba, Chevrolet Series: Blazer C10,15,20,25, Express,G10,15,20,25, (81/86, 89/95, 85/89),Jeep Series: Wagoneer, Cherokee (88/96, 81/91);;"1-1/8""x40mm";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;154;
KB-F98953;Kit de Reparacion para Bomba, Chevrolet Series: G30,G35 / K30,K35, (Pistòn Profundo),(74/81), (74/75), (77/83), (74/84), Pickup (83/86), (83/91);;"1-5/16""";;;3,78;8,40;9,45;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;155;
KB-F81Z-2140-BA;Kit de Reparacion para Bomba, Ford Tritòn F-350, Super Duty 2010 en adelante;;"1-1/4""";;;3,36;7,47;8,40;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;156;
KB-5011260AA;Kit de Reparacion para Bomba, Jeep Grand Cherokee (91/05);;"1""";;;2,66;5,91;6,65;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;157;
KB-120369;Kit de Reparacion para Bomba, Ford Series: Bronco 87/93, E-150/250, F-150/250 (88/96);;"1-1/16""";;;2,52;5,60;6,30;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;159;
KB-1516252;Kit de Reparacion para Bomba, Chevrolet Series: Aveo, Optra (04/08);;"15/16""";;;4,90;10,89;12,26;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;160;
KB-9193225;Kit de Reparacion para Bomba, Chevrolet Series: Astra (00/03);;"15/16""";;;5,04;11,20;12,60;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;161;
KB-39583;Kit de Reparacion para Bomba, Chevrolet Series: Century, Celebrity (87/89);;"7/8""";;;4,20;9,33;10,50;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;162;
KB-639011;Kit de Reparacion para Bomba, Chevrolet Chevy C2 Comfort 07/10;;"13/16""";;;1,40;3,11;3,50;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;163;
KB-390108;Kit de Reparacion para Bomba, Mazda Series: Allegro, 626 (93/99), Ford Laser (93/97);;"15/16""";;;2,38;5,29;5,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;164;
KB-639044;Kit de Reparacion para Bomba, Fiat: Strada, Siena (99/04), Fiorino (94/01), Palio (98/00);;"7/8""";;;2,94;6,53;7,35;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;165;
KB-426005-M;Kit de Reparacion para Bomba, Daewoo Series: Lanos, Cielo;;"13/16""";;;2,24;4,98;5,60;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;166;
KB-0K30C434008;Kit de Reparacion para Bomba, Kia Río (01/02), Ford Aspire 94/97;;;;;3,64;8,09;9,10;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;167;
KB-4601;Kit de Reparacion para Bomba, Paugeot Series: Partner (2012), 1.4 Sincrónica;;"15/16""";;;4,90;10,89;12,25;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;168;
KB-51100-75F51;Kit de Reparacion de Bomba, Chevrolet Wagon+;;"13/16""";;;2,52;5,60;6,30;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;169;
KB-3505009;Kit de Reparacion para Bomba, Lada Niva  ;;3/4¨;;;5,60;12,44;14,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;170;
KB-4720109680;Kit de Reparacion para Bomba, Toyota Corolla (09/14) de 4 Tuberías 22.23 mm;;7/8¨;;;6,30;14,00;15,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;171;
KB-43990;Kit de Repacion para Bomba, Mazda Demio;;15/16¨;;;4,90;10,89;12,25;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;172;
KB-20845345;Kit de Reparacion para Bomba Chevrolet Avalanche(09/14),Cheyenne C-1500(06/13),Silverado 1500(09/13),Tahoe(09/14),GMC YUKON(09/14) ;;"1-1/4""";;;4,20;9,33;10,50;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;173;
KB-93289332;Kit de Reparacion para Bomba Chevrolet Chevy (04/10),Corsa (98/02) ;;"13/16""";;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;174;
KB-4493OK010;Kit de Reparacion para Bomba Toyota Fortuner,Hilux Kavak ;;"13/16""";;;2,80;6,22;7,00;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;175;
KB-M113505010;Kit de Reparacion para Bomba Original con aplicación adicional Bomba universal ;;15/16;;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;177;
KB-4702860010;Kit de Reparacion para Bomba Toyota 4Runner(03/08);;13/16;;;4,20;9,33;10,50;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;178;
KB-8971866880;Kit de Reparacion para Bomba Encava NT900/Isuzu NPR;;;;;7,00;15,56;17,50;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;179;
KB-4720737020;Kit de Reparacion de Bomba Toyota Dyna, HINO 300;;"1-1/16""";;;5,18;11,51;12,95;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;180;
KB-84920181;Kit de Reparacion de Bomba Hyundai HD72-65-45/Mitsubishi Canter;;"1-3/16""";;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;185;
KO-185576480S;Master Kit De Reparación Air Master Encava Serie 610 (Air Master De Aluminio), no incluye la goma del tanque de aire;;;;;3,50;7,78;8,75;KIT DE RFEPARACION DE BOMBA DE FRENO NACIONAL ;982;
;;;;;;;;;;;
;;;;;;;;;;;
KIT DE REPARACION PARA CILINDROS DE RUEDA ;;;;;;;;;;;
Referencia;Descripcion;CANTIDAD;MEDIDA;MEDIDA;MEDIDA;COSTO;CARACAS;ORIENTE;;;
KT-5010;Kit de Reparacion para Cilindro de Rueda, Caribe 85/88, (Tipo Cubeta);;"7/8""";;;4,90;10,89;12,25;KIT DE REPARACION DE CILINDRO DE FRENO ;600;
KT-55728;Kit de Reparacion para Cilindro de Rueda, Encava 32 Puestos;;"1-1/2""";;;7,56;16,80;18,90;KIT DE REPARACION DE CILINDRO DE FRENO ;601;
KT-13390;Kit de Reparacion para Cilindro de Rueda, Daewoo Racer;;"11/16""";;;2,80;6,22;7,00;KIT DE REPARACION DE CILINDRO DE FRENO ;602;
KT-13580;Kit de Reparacion para Cilindro de Rueda, Daihatsu Delta 97/98, (Doble);;28.57mm;;;10,92;24,27;27,30;KIT DE REPARACION DE CILINDRO DE FRENO ;603;
KT-0069-4;Kit de Reparacion para Cilindro de Rueda, Fiat 147 (Cilindro Varga);;19.05mm;;;2,52;5,60;6,30;KIT DE REPARACION DE CILINDRO DE FRENO ;604;
KT-1010A;Kit de Reparacion para Cilindro de Rueda, Fiat Uno, 147 (Todos Tipo Anillo);;"11/16""";;;2,52;5,60;6,30;KIT DE REPARACION DE CILINDRO DE FRENO ;605;
KT-1010P;Kit de Reparacion para Cilindro de Rueda, Fiat Uno, 147 (Todos Tipo Cubeta);;"11/16""";;;2,38;5,29;5,95;KIT DE REPARACION DE CILINDRO DE FRENO ;606;
KT-1020A;Kit de Reparacion para Cilindro de Rueda, Fiat Uno, 147 (Todos Tipo Anillo);;"3/4""";;;2,52;5,60;6,30;KIT DE REPARACION DE CILINDRO DE FRENO ;607;
KT-1020P-X;Kit de Reparacion para Cilindro de Rueda, Fiat Uno, 147 (Todos Tipo Cubeta);;"3/4""";;;2,10;4,67;5,25;KIT DE REPARACION DE CILINDRO DE FRENO ;608;
KT-1030A;Kit de Reparacion para Cilindro de Rueda, Fiat 131/132 (Tipo Anillo);;"7/8""";;;2,24;4,98;5,60;KIT DE REPARACION DE CILINDRO DE FRENO ;609;
KT-1030P-R;Kit de Reparacion para Cilindro de Rueda, FIAT 131/132 (Tipo Cubeta);;"7/8""";;;2,66;5,91;6,65;KIT DE REPARACION DE CILINDRO DE FRENO ;610;
KT-1040A;Kit de Reparacion para Cilindro de Rueda, Uno/Premio/Ritmo/Regata (86+);;19.05mm;;;3,08;6,84;7,70;KIT DE REPARACION DE CILINDRO DE FRENO ;611;
KT-1050A;Kit de Reparacion para Cilindro de Rueda, Ritmo/Regata (84/85), 124, 125, 131, 132;;"7/8""";;;2,24;4,98;5,60;KIT DE REPARACION DE CILINDRO DE FRENO ;612;
KT-1060A;Kit de Reparacion para Cilindro de Rueda, FIAT 147 (81-82);;19.05mm;;;2,52;5,60;6,30;KIT DE REPARACION DE CILINDRO DE FRENO ;613;
KT-1070A;Kit de Reparacion para Cilindro de Rueda, FIAT TEMPRA 1800;;"11/16""";;;2,24;4,98;5,60;KIT DE REPARACION DE CILINDRO DE FRENO ;614;
KT-2753;Kit de Reparacion para Cilindro de Rueda, FIAT RITMO;;"11/16""";;;2,38;5,29;5,95;KIT DE REPARACION DE CILINDRO DE FRENO ;615;
KT-2620B;Kit de Reparacion para Cilindro de Rueda, MONZA/TEMPRA/CORSA/DAEWOO (TODOS);;19.05mm;;;3,08;6,84;7,70;KIT DE REPARACION DE CILINDRO DE FRENO ;616;
KT-1130;Kit de Reparacion para Cilindro de Rueda, Ford Fiesta, Toyota Corolla (Taiwanes Hueco Corto), Chevrolet Spark;;"11/16""";;;2,80;6,22;7,00;KIT DE REPARACION DE CILINDRO DE FRENO ;617;
KT-116229;Kit de Reparacion para Cilindro de Rueda, Ford Festiva;;"5/8""";;;2,80;6,22;7,00;KIT DE REPARACION DE CILINDRO DE FRENO ;618;
KT-4010;Kit de Reparacion para Cilindro de Rueda, Ford Corcel II / Del Rey;;"7/8""";;;3,22;7,16;8,05;KIT DE REPARACION DE CILINDRO DE FRENO ;619;
KT-4015;Kit de Reparacion para Cilindro de Rueda, Ford Corcel II / Del Rey, Chevrole Chevette ;;"3/4""";;;5,18;11,51;12,95;KIT DE REPARACION DE CILINDRO DE FRENO ;620;
KT-4045;Kit de Reparacion para Cilindro de Rueda, Ford Sierra (88);;"7/8""";;;3,22;7,16;8,05;KIT DE REPARACION DE CILINDRO DE FRENO ;621;
KT-4050;Kit de Reparacion para Cilindro de Rueda, Sierra, Chevette, Montero ;;"7/8""";;;3,08;6,84;7,70;KIT DE REPARACION DE CILINDRO DE FRENO ;622;
KT-4055;Kit de Reparacion para Cilindro de Rueda, Ford Escort/Orion;;19.05mm;;;2,94;6,53;7,35;KIT DE REPARACION DE CILINDRO DE FRENO ;623;
KT-50600;Kit de Reparacion para Cilindro de Rueda, Ford F600;;"1-3/4""";;;2,38;5,29;5,95;KIT DE REPARACION DE CILINDRO DE FRENO ;624;
KT-3810;Kit de Reparacion para Cilindro de Rueda, Hino Buseta (Gago);;"1-1/2""";;;6,30;14,00;15,75;KIT DE REPARACION DE CILINDRO DE FRENO ;625;
KT-13380;"Kit de Reparacion para Cilindro de Rueda, Hyundai Excel, 11/16""";;"11/16""";;;2,24;4,98;5,60;KIT DE REPARACION DE CILINDRO DE FRENO ;626;
KT-13381;"Kit de Reparacion para Cilindro de Rueda, Hyundai Excel, 13/16""";;"13/16""";;;5,18;11,51;12,95;KIT DE REPARACION DE CILINDRO DE FRENO ;627;
KT-4690;Kit de Reparacion para Cilindro de Rueda, Mazda 626, Hyundai Excel;;"13/16""";;;2,94;6,53;7,35;KIT DE REPARACION DE CILINDRO DE FRENO ;628;
KT-2610A;Kit de Reparacion para Cilindro de Rueda, Chevette (82/87), Corsa (Cilindro Varga);;19.05mm;;;2,94;6,53;7,35;KIT DE REPARACION DE CILINDRO DE FRENO ;629;
KT-2610F;Kit de Reparacion para Cilindro de Rueda, Chevette (87/88), (Cilindro Forum);;"7/8""";;;5,47;12,15;13,67;KIT DE REPARACION DE CILINDRO DE FRENO ;630;
KT-2620;Kit de Reparacion para Cilindro de Rueda, Chevrolet Monza;;19.05mm;;;2,94;6,53;7,35;KIT DE REPARACION DE CILINDRO DE FRENO ;631;
KT-26350;Kit de Reparacion para Cilindro de Rueda, Chevrolet Van WRF;;"7/8""";;;5,60;12,44;14,00;KIT DE REPARACION DE CILINDRO DE FRENO ;632;
KT-26940;Kit de Reparacion para Cilindro de Rueda, Chevrolet NPR, (Modelo Viejo), Dyna Delantero, Canter Delantero/Trasero.;;"1-3/16""";;;14,14;31,42;35,35;KIT DE REPARACION DE CILINDRO DE FRENO ;633;
KT-13560;Kit de Reparacion para Cilindro de Rueda, Chevrolet NPR (97/98), NHR, NKR (Doble), Hyundai HD78;;"1-1/8""";;;10,92;24,27;27,30;KIT DE REPARACION DE CILINDRO DE FRENO ;634;
KT-70810;Kit de Reparacion para Cilindro de Rueda, Swift/Neon 2002 ;;"11/16""";;;2,38;5,29;5,95;KIT DE REPARACION DE CILINDRO DE FRENO ;635;
KT-70910;Kit de Reparacion para Cilindro de Rueda, Grand Blazer;;"1-3/16""";;;3,22;7,16;8,05;KIT DE REPARACION DE CILINDRO DE FRENO ;636;
KT-4670;Kit de Reparacion para Cilindro de Rueda, Mazda 323 (Tipo Cubeta);;"11/16""";;;2,24;4,98;5,60;KIT DE REPARACION DE CILINDRO DE FRENO ;637;
KT-4680;Kit de Reparacion para Cilindro de Rueda, Mazda 323;;"3/4""";;;2,94;6,53;7,35;KIT DE REPARACION DE CILINDRO DE FRENO ;638;
KT-4610-X;Kit de Reparacion para Cilindro de Rueda, Mazda 626L (Tipo Cubeta);;"3/4""";;;2,66;5,91;6,65;KIT DE REPARACION DE CILINDRO DE FRENO ;639;
KT-1326;Kit de Reparacion para Cilindro de Rueda, Nissan Patrol (Doble);;"1""";;;3,22;7,16;8,05;KIT DE REPARACION DE CILINDRO DE FRENO ;640;
KT-201353;Kit de Reparacion para Cilindro de Rueda, Renault R5/R11/R16/R18/Fuego, (Girling);;"7/8""";;;4,48;9,96;11,20;KIT DE REPARACION DE CILINDRO DE FRENO ;641;
KT-800-R;Kit de Reparacion para Cilindro de Rueda, Renault R12, R16 (Tipo Cubeta);;"7/8""";;;2,66;5,91;6,65;KIT DE REPARACION DE CILINDRO DE FRENO ;642;
KT-800A;Kit de Reparacion para Cilindro de Rueda, Renault R12, R16 (Tipo Anillo);;"7/8""";;;3,08;6,84;7,70;KIT DE REPARACION DE CILINDRO DE FRENO ;643;
KT-920A;Kit de Reparacion para Cilindro de Rueda, Renault R5, R11, R18, (2000), Fuego, Kangoo;;"7/8""";;;2,66;5,91;6,65;KIT DE REPARACION DE CILINDRO DE FRENO ;644;
KT-920B;Kit de Reparacion para Cilindro de Rueda, Renault R11 (Incluye o`Ring);;"13/16""";;;3,36;7,47;8,40;KIT DE REPARACION DE CILINDRO DE FRENO ;645;
KT-930;Kit de Reparacion para Cilindro de Rueda, Renault R19 Energy (Modelo Nuevo);;"13/16""";;;2,66;5,91;6,65;KIT DE REPARACION DE CILINDRO DE FRENO ;646;
KT-70820;Kit de Reparacion para Cilindro de Rueda, Suzuki Super Carry ;;"3/4""";;;3,36;7,47;8,40;KIT DE REPARACION DE CILINDRO DE FRENO ;647;
